month,day,start_station_name,end_station_name,liczba_tras,temperatura,opady,wiatr
7,12,Liberty Light Rail,Liberty Light Rail,35,23.104166666666668,0.0,9.979166666666666
7,20,Liberty Light Rail,Liberty Light Rail,31,21.95,0.0,10.645833333333334
7,13,Liberty Light Rail,Liberty Light Rail,30,22.90833333333333,0.0,11.408333333333333
4,23,Hoboken Terminal - Hudson St & Hudson Pl,Hoboken Ave at Monmouth St,27,9.320833333333333,0.0,9.970833333333333
7,20,12 St & Sinatra Dr N,12 St & Sinatra Dr N,27,21.95,0.0,10.645833333333334
7,19,Liberty Light Rail,Liberty Light Rail,25,22.1875,0.0,10.620833333333334
7,20,14 St Ferry - 14 St & Shipyard Ln,14 St Ferry - 14 St & Shipyard Ln,25,21.95,0.0,10.645833333333334
10,5,12 St & Sinatra Dr N,12 St & Sinatra Dr N,25,17.579166666666666,0.0,14.541666666666666
10,24,8 St & Washington St,11 St & Washington St,25,9.216666666666667,0.0,21.804166666666664
7,13,12 St & Sinatra Dr N,12 St & Sinatra Dr N,23,22.90833333333333,0.0,11.408333333333333
10,24,11 St & Washington St,8 St & Washington St,23,9.216666666666667,0.0,21.804166666666664
7,12,12 St & Sinatra Dr N,12 St & Sinatra Dr N,22,23.104166666666668,0.0,9.979166666666666
7,18,McGinley Square,Bergen Ave & Sip Ave,22,24.22083333333333,0.0,14.616666666666667
7,19,Hoboken Terminal - Hudson St & Hudson Pl,Hoboken Ave at Monmouth St,22,22.1875,0.0,10.620833333333334
4,22,Hoboken Terminal - Hudson St & Hudson Pl,Hoboken Ave at Monmouth St,21,9.6875,0.0,10.708333333333334
4,22,Hoboken Terminal - River St & Hudson Pl,Stevens - River Ter & 6 St,21,9.6875,0.0,10.708333333333334
7,12,Newport PATH,Exchange Pl,21,23.104166666666668,0.0,9.979166666666666
10,24,McGinley Square,Bergen Ave & Sip Ave,21,9.216666666666667,0.0,21.804166666666664
10,31,Hoboken Terminal - Hudson St & Hudson Pl,Hoboken Ave at Monmouth St,21,11.237499999999999,0.0,11.895833333333334
1,14,Hoboken Terminal - River St & Hudson Pl,8 St & Washington St,20,-7.366666666666667,0.0,18.133333333333333
4,20,Liberty Light Rail,Liberty Light Rail,20,5.362500000000001,0.0,22.320833333333336
4,21,Hoboken Terminal - Hudson St & Hudson Pl,Hoboken Ave at Monmouth St,20,8.266666666666667,0.0,13.854166666666666
7,12,Exchange Pl,Newport PATH,20,23.104166666666668,0.0,9.979166666666666
10,18,Hoboken Ave at Monmouth St,Hoboken Terminal - Hudson St & Hudson Pl,20,7.329166666666667,0.0,17.079166666666666
10,25,Hoboken Terminal - Hudson St & Hudson Pl,Hoboken Ave at Monmouth St,20,6.7875000000000005,0.0,15.029166666666667
4,23,12 St & Sinatra Dr N,12 St & Sinatra Dr N,19,9.320833333333333,0.0,9.970833333333333
7,18,Bergen Ave & Sip Ave,McGinley Square,19,24.22083333333333,0.0,14.616666666666667
10,14,Grove St PATH,Marin Light Rail,19,10.825000000000001,0.0,8.029166666666667
10,26,Liberty Light Rail,Liberty Light Rail,19,6.645833333333333,0.0,7.841666666666666
10,31,McGinley Square,Bergen Ave & Sip Ave,19,11.237499999999999,0.0,11.895833333333334
