month,day,start_station_name,end_station_name,liczba_tras,temperatura,opady,wiatr
1,4,Hoboken Terminal - River St & Hudson Pl,4 St & Grand St,9,-4.995833333333334,0.8375,35.512499999999996
1,4,McGinley Square,Bergen Ave & Sip Ave,9,-4.995833333333334,0.8375,35.512499999999996
1,4,8 St & Washington St,Hoboken Terminal - River St & Hudson Pl,8,-4.995833333333334,0.8375,35.512499999999996
1,4,Hoboken Terminal - River St & Hudson Pl,8 St & Washington St,8,-4.995833333333334,0.8375,35.512499999999996
1,4,Liberty Light Rail,Grove St PATH,8,-4.995833333333334,0.8375,35.512499999999996
1,4,Madison St & 1 St,Hoboken Terminal - River St & Hudson Pl,8,-4.995833333333334,0.8375,35.512499999999996
1,4,Marin Light Rail,Grove St PATH,8,-4.995833333333334,0.8375,35.512499999999996
1,4,11 St & Washington St,Hoboken Terminal - River St & Hudson Pl,7,-4.995833333333334,0.8375,35.512499999999996
1,4,Bergen Ave & Sip Ave,McGinley Square,7,-4.995833333333334,0.8375,35.512499999999996
1,4,Bergen Ave,Bergen Ave & Sip Ave,6,-4.995833333333334,0.8375,35.512499999999996
1,4,Grove St PATH,Liberty Light Rail,6,-4.995833333333334,0.8375,35.512499999999996
1,4,Hoboken Ave at Monmouth St,Hoboken Terminal - River St & Hudson Pl,6,-4.995833333333334,0.8375,35.512499999999996
1,4,Hoboken Terminal - River St & Hudson Pl,11 St & Washington St,6,-4.995833333333334,0.8375,35.512499999999996
1,4,Hoboken Terminal - River St & Hudson Pl,Clinton St & 7 St,6,-4.995833333333334,0.8375,35.512499999999996
1,4,Hoboken Terminal - River St & Hudson Pl,Columbus Park - Clinton St & 9 St,6,-4.995833333333334,0.8375,35.512499999999996
1,4,Southwest Park - Jackson St & Observer Hwy,Hoboken Terminal - River St & Hudson Pl,6,-4.995833333333334,0.8375,35.512499999999996
1,4,12 St & Sinatra Dr N,4 St & River St,5,-4.995833333333334,0.8375,35.512499999999996
1,4,Bergen Ave & Sip Ave,Bergen Ave,5,-4.995833333333334,0.8375,35.512499999999996
1,4,Bergen Ave & Sip Ave,Glenwood Ave,5,-4.995833333333334,0.8375,35.512499999999996
1,4,Bloomfield St & 15 St,6 St & Grand St,5,-4.995833333333334,0.8375,35.512499999999996
1,4,Brunswick St,Grove St PATH,5,-4.995833333333334,0.8375,35.512499999999996
1,4,Columbus Park - Clinton St & 9 St,Hoboken Terminal - River St & Hudson Pl,5,-4.995833333333334,0.8375,35.512499999999996
1,4,Grove St PATH,Marin Light Rail,5,-4.995833333333334,0.8375,35.512499999999996
1,4,Hamilton Park,Manila & 1st,5,-4.995833333333334,0.8375,35.512499999999996
1,4,Hoboken Terminal - River St & Hudson Pl,Clinton St & Newark St,5,-4.995833333333334,0.8375,35.512499999999996
1,4,Marshall St & 2 St,Hoboken Terminal - River St & Hudson Pl,5,-4.995833333333334,0.8375,35.512499999999996
1,4,Van Vorst Park,Grove St PATH,5,-4.995833333333334,0.8375,35.512499999999996
1,4,12 St & Sinatra Dr N,Church Sq Park - 5 St & Park Ave,4,-4.995833333333334,0.8375,35.512499999999996
1,4,14 St Ferry - 14 St & Shipyard Ln,River St & 1 St,4,-4.995833333333334,0.8375,35.512499999999996
1,4,6 St & Grand St,Madison St & 1 St,4,-4.995833333333334,0.8375,35.512499999999996
1,4,8 St & Washington St,River St & 1 St,4,-4.995833333333334,0.8375,35.512499999999996
1,4,Baldwin at Montgomery,Bergen Ave & Sip Ave,4,-4.995833333333334,0.8375,35.512499999999996
1,4,Bergen Ave & Sip Ave,Lincoln Park,4,-4.995833333333334,0.8375,35.512499999999996
1,4,Church Sq Park - 5 St & Park Ave,Hoboken Terminal - River St & Hudson Pl,4,-4.995833333333334,0.8375,35.512499999999996
1,4,Columbus Drive,Liberty Light Rail,4,-4.995833333333334,0.8375,35.512499999999996
1,4,Grand St & 14 St,Church Sq Park - 5 St & Park Ave,4,-4.995833333333334,0.8375,35.512499999999996
